original_priority_rank,word,url,canonical_slug_valid,BD_IMPRESSIONS,BD_CLICKS,BD_CTR,BD_POSITION,BD_RELEVANT_QUERY_IMPRESSIONS,tier,migration_class,rendering_state,source_completeness_score,source_fields_present,source_bangla,source_definition,source_part_of_speech,source_example,source_synonyms,source_antonyms,source_word_family,source_pronunciation,source_editorial_status,classification,source_problem,recommended_action,synthetic_example_rejected,publish_bangla,publish_definition,publish_part_of_speech,publish_example,publish_synonyms,publish_antonyms,publish_word_family,publish_pronunciation,publish_synonym_values,publish_antonym_values,publish_word_family_values,future_omissions
82,shy,https://ovidhan.net/word/shy.html,True,1,0,0.0,87.0,0,B,REVIEW,LEGACY,1,bangla,লাজুক,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
83,manipulate,https://ovidhan.net/word/manipulate.html,True,1,0,0.0,53.0,0,B,REVIEW,LEGACY,1,bangla,ম্যানিপুলেট,,,,,,,,draft,REJECT,Bangla is only an unsupported transliteration and no definition establishes the intended sense.,DATA_REMEDIATION,False,False,False,False,False,False,False,False,False,,,,bangla
84,friction,https://ovidhan.net/word/friction.html,True,1,0,0.0,51.0,0,B,REVIEW,LEGACY,1,bangla,ঘর্ষণ,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
85,mess,https://ovidhan.net/word/mess.html,True,1,0,0.0,62.0,0,B,REVIEW,LEGACY,1,bangla,মেস,,,,,,,,draft,REJECT,Bangla 'মেস' points to a different loanword sense and does not safely represent the primary headword.,DATA_REMEDIATION,False,False,False,False,False,False,False,False,False,,,,bangla
86,offset,https://ovidhan.net/word/offset.html,True,1,0,0.0,92.0,0,B,REVIEW,LEGACY,1,bangla,অফসেট,,,,,,,,draft,HUMAN_REVIEW,Transliteration-only answer does not identify the intended noun/verb/adjective sense.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
87,rant,https://ovidhan.net/word/rant.html,True,1,0,0.0,58.0,0,B,REVIEW,LEGACY,1,bangla,রন্ট,,,,,,,,draft,REJECT,Bangla 'রন্ট' is a suspicious/malformed transliteration with no supporting definition.,DATA_REMEDIATION,False,False,False,False,False,False,False,False,False,,,,bangla
88,reckon,https://ovidhan.net/word/reckon.html,True,1,0,0.0,76.0,0,B,REVIEW,LEGACY,1,bangla,গণনা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
89,velocity,https://ovidhan.net/word/velocity.html,True,1,0,0.0,70.0,0,B,REVIEW,LEGACY,1,bangla,বেগ,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
90,crunch,https://ovidhan.net/word/crunch.html,True,1,0,0.0,78.0,0,B,REVIEW,LEGACY,1,bangla,ক্রাঞ্চ,,,,,,,,draft,HUMAN_REVIEW,"Transliteration-only answer does not identify the sound, action, or shortage senses.",HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
91,lash,https://ovidhan.net/word/lash.html,True,1,0,0.0,83.0,0,B,REVIEW,LEGACY,1,bangla,চাবুক,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
92,nest,https://ovidhan.net/word/nest.html,True,1,0,0.0,74.0,0,B,REVIEW,LEGACY,1,bangla,নীড়,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
93,opportune,https://ovidhan.net/word/opportune.html,True,1,0,0.0,57.0,0,B,REVIEW,LEGACY,1,bangla,সুবিধাজনক,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
94,phenomenon,https://ovidhan.net/word/phenomenon.html,True,1,0,0.0,55.0,0,B,REVIEW,LEGACY,1,bangla,ঘটনা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
95,reassure,https://ovidhan.net/word/reassure.html,True,1,0,0.0,54.0,0,B,REVIEW,LEGACY,1,bangla,আশ্বস্ত করা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
96,recital,https://ovidhan.net/word/recital.html,True,1,0,0.0,72.0,0,B,REVIEW,LEGACY,1,bangla,আবৃত্তি,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
97,squash,https://ovidhan.net/word/squash.html,True,1,0,0.0,69.0,0,B,REVIEW,LEGACY,1,bangla,স্কোয়াশ,,,,,,,,draft,HUMAN_REVIEW,"Transliteration-only answer is ambiguous among verb, sport, and vegetable senses.",HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
98,wash,https://ovidhan.net/word/wash.html,True,1,0,0.0,51.0,0,B,REVIEW,LEGACY,1,bangla,ধোয়া,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
99,wipe,https://ovidhan.net/word/wipe.html,True,1,0,0.0,53.0,0,B,REVIEW,LEGACY,1,bangla,মুছা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
100,withdrawal,https://ovidhan.net/word/withdrawal.html,True,1,0,0.0,82.0,0,B,REVIEW,LEGACY,1,bangla,প্রত্যাহার,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
